ID,Name,Magazine,Damage,Accuracy,Fire rate,Animation,Description,Type
29000,SAB_AK47,30,30,0.5,4,rifle,"Regular AK47 with no stock, less accurate.",Assault Rifle
29002,SAB_GLOCK,15,35,1.6,6,silenced,"semi-automatic pistol, big magazine, better damage, good accuracy.",Pistol
29005,SAB_PSG1,5,200,1.25,30,sniper,SWAT issued sniper rifle.,Rifle
29011,LC_AK47,30,30,0.6,4,rifle,Similar to SA AK47 but with different sound,Assault Rifle
29013,LC_COLT45,15,25,1,6,colt45,could be removed due to similar appearance as SA counterpart,Pistol
29014,LC_FLAME,500,25,,,flame,Same as SA counterpart,Heavy
29016,LC_HEATSEAK,1,75,,,rocket,Same as SA counterpart,Heavy
29017,LC_M16,60,45,0.8,2,rifle,Madman's M16.,Assault Rifle
29020,LC_SHOTGUN,1,15,0.25,34,buddy,Less accurate but deals more damage.,Shotgun
29021,LC_SNIPER,1,125,1.25,20,sniper,Identical to SA counterpart but with different scope and sound.,Rifle
29022,LC_UZI,25,20,1.2,2,colt45,"Unique sound, can be duel wielded with max skills.",SMG
29024,VC_BUDDYSHOT,7,10,2,30,buddy,"Semi-automatic, bigger magazine but less damage.",Shotgun
29026,VC_SHOTGUN,1,10,1.4,32,shotgun,Similar to vanilla shotgun but different sound.,Shotgun
29028,VC_COLT45,17,25,1,6,colt45,Very similar to SA counterpart with different sound.,Pistol
29036,VC_LASER,7,125,1,26,sniper,"Very similar to LCS_LASER, will be changed in the future.",Rifle
29037,VC_M4,30,30,1.1,3,rifle,"Shorter variant, slightly less accurate.",Assault Rifle
29038,VC_M60,100,80,1.6,4,riflebad,Very similar to LCS_M60 but way better damage.,Heavy
29040,VC_MINIGUN,500,140,1,1,flame,very similar to SA counterpart,Heavy
29043,VC_MP5,30,25,1.2,3,uzi,very similar to SA counterpart but with different sound.,SMG
29045,VC_PYTHON,6,150,1.35,30,deagle,Very similar to LCS_PYTHON with slightly better damage but lower fire rate.,Revolver
29046,VC_ROCKETLA,1,75,,,rocket,very similar to SA counterpart,Heavy
29047,VC_RUGER,25,30,1.8,4,rifle,ruger version with shortened barrel.,Assault Rifle
29049,VC_SPAS12,7,15,1.2,6,buddy,Semi-auto shotgun with faster fire rate.,Shotgun
29050,VC_SNIPERRIFLE,1,125,1,30,sniper,"Very similar to SA counterpart, will be chnaged in the future.",Rifle
29052,VC_TEC9,50,20,1,4,colt45,"Very similar to SA counterpart, different sound.",SMG
29053,VC_UZI,32,25,1.2,4,uzi,"Buttstock, bigger magazine",SMG
29054,VC_WRUGER,25,30,0.8,4,rifle,"70’s light assault rifle, small magazine, medium accuracy",Assault Rifle
29055,VCB_COLTSIL,7,45,1.5,10,colt45,"Silenced pistol, can be duel wielded with max skill. ",Pistol
