ZONE NAME,GXT NAME,X1,Y1,Z1,X2,Y2,Z2
A_PORT,Escobar International,5611.79,-9279.61,0,6291.79,-7269.61,300
AIRPORT,Francis Intl. Airport,6617.03,6905.29,-45.9404,7781.37,7981.56,254.696
ALDEA,Aldea Malvada,-1372.14,2498.52,0,-1277.59,2615.35,200
ANDREAS,San Andreas,-3000,-3000,-500,3000,3000,2000
ANGPI,Angel Pine,-2324.94,-2584.29,-6.10352E-05,-1964.22,-2212.11,200
ARCO,Arco del Oeste,-901.129,2221.86,0,-592.09,2571.97,200
ARMYBAS,Fort Baxter Air Base,5701.95,-7815.2,0,5944.15,-7541.91,500
AT01,Atlantis,7302.93,-890.676,-500,8980.42,797.658,500
BACKO,Back o Beyond,-1166.97,-2641.19,0,-321.744,-1856.03,200
BARRA,Las Barrancas,-926.13,1398.73,-3.05176E-05,-719.234,1634.69,200
BATTP,Battery Point,-2741.07,1268.41,-4.57764E-05,-2533.04,1490.47,200
BAYV,Palisades,-2994.49,458.411,-6.10352E-05,-2741.07,1339.61,200
BEACO,Beacon Hill,-399.633,-1075.52,-1.48904,-319.033,-977.516,198.511
BFC1,Blackfield Chapel,1375.6,596.349,-89.084,1558.09,823.228,110.916
BFC2,Blackfield Chapel,1325.6,596.349,-89.084,1375.6,795.01,110.916
BFLD1,Blackfield,964.391,1203.22,-89.084,1197.39,1403.22,110.916
BFLD2,Blackfield,964.391,1403.22,-89.084,1197.39,1726.22,110.916
BIG_DAM,Cochrane Dam,6855.5,8343.44,-46.7412,7382.48,8954.54,253.344
BIGE,The Big Ear',-410.02,1403.34,-3.05176E-05,-137.969,1681.23,200
BIKE1,Saint Mark's,9290,7690.61,0,9387.09,7852.8,161
BIKE2,Saint Mark's,9290,7852.8,0,9360.21,7944.62,161
BIKE3,Saint Mark's,9290,7944.62,0,9360.21,8007.69,161
BIKE4,Trenton,9315.77,7611.18,0,9387.09,7690.61,161
BIKE5,Trenton,9310.77,7421.18,0,9387.09,7471.18,161
BIKE6,Trenton,9315.77,7471.18,0,9387.09,7538.62,161
BIKE7,Trenton,9315.77,7538.62,0,9387.09,7611.18,161
BINT1,Blackfield Intersection,1166.53,795.01,-89.0839,1375.6,1044.69,110.916
BINT2,Blackfield Intersection,1197.39,1044.69,-89.0839,1277.05,1163.39,110.916
BINT3,Blackfield Intersection,1277.05,1044.69,-89.0839,1315.35,1087.63,110.916
BINT4,Blackfield Intersection,1375.6,823.228,-89.084,1457.39,919.447,110.916
BLUAC,Blueberry Acres,-319.676,-220.137,0,104.534,293.324,200
BLUEB,Blueberry,19.6074,-404.136,3.8147E-06,349.607,-220.137,200
BLUEB1,Blueberry,104.534,-220.137,2.38419E-07,349.607,152.236,200
BLUF1A,Verdant Bluffs,930.221,-2488.42,-89.0839,1249.62,-2006.78,110.916
BLUF1B,Verdant Bluffs,1073.22,-2006.78,-89.0839,1249.62,-1842.27,110.916
BLUF2,Verdant Bluffs,1249.62,-2179.25,-89.0839,1692.62,-1842.27,110.916
BONE,Bone County,-480.539,596.349,-242.99,869.461,2993.87,900
BRUJA,Las Brujas,-365.167,2123.01,-3.05176E-05,-208.57,2217.68,200
BWACA,Bullworth Academy,8078.79,13948.3,-89,8557.2,14373.9,500
BWASY,Happy Volts Asylum,8078.79,13778.8,-89,8206.92,13948.3,500
BWCOV,New Coventry,8589.46,13556.3,-89,8911.03,14034.4,500
BWGRS1,Bullworth Academy,8346.21,14187.9,-89,8420.89,14287.5,500
BWGRS2,New Coventry,8730.16,13965.4,-89,8857.77,14034.4,500
BWGRS3,New Coventry,8638.83,13928,-89,8730.16,14034.4,500
BWGRS4,New Coventry,8730.16,13871.3,-89,8826.67,13965.4,500
BWGRS5,New Coventry,8618.51,13807.3,-89,8730.16,13928,500
BWGRS6,New Coventry,8730.16,13742.8,-89,8853.89,13871.3,500
BWIND,Blue Skies Industrial Park,8078.79,13556.3,-89,8589.46,13948.3,500
BWJCK1,Bullworth Academy,8197.77,14218.2,-89,8245.66,14245.2,500
BWJCK2,Bullworth Academy,8192.25,14130,-89,8245.66,14218.2,500
BWJCK3,Bullworth Academy,8245.66,14130,-89,8322.41,14204.6,500
BWMAIN,Bullworth,8059.07,13586,-500,9024.89,14888.2,500
BWNRD1,Bullworth Academy,8408.77,14056.5,-89,8465.74,14115.8,500
BWNRD2,Bullworth Academy,8278.03,14094.2,-89,8326.98,14140.1,500
BWPREP,Harrington House,8332.06,14090.6,-89,8371.73,14143.8,500
BWPRP1,Old Bullworth Vale,8649.22,14678.7,-89,8734.51,14781,500
BWPRP2,Old Bullworth Vale,8734.51,14732.9,-89,8816.73,14808,500
BWPRP3,Old Bullworth Vale,8734.51,14678.7,-89,8851.73,14732.9,500
BWPRP4,Old Bullworth Vale,8734.51,14578.7,-89,8851.72,14678.7,500
BWPRP5,Old Bullworth Vale,8588.14,14641.3,-89,8649.22,14742.1,500
BWRICH,Old Bullworth Vale,8464.24,14290.9,-89,8963.91,14915.5,500
BWTWN,Bullworth Town,8630.36,14034.4,-89,8911.03,14315.9,500
BYTUN,Bayside Tunnel,-2290.19,2548.29,-89.084,-1950.19,2723.29,110.916
CALI1,Caligula's Palace,2087.39,1543.23,-89.0839,2437.39,1703.23,110.916
CALI2,Caligula's Palace,2137.4,1703.23,-89.0839,2437.39,1783.23,110.916
CALT,Calton Heights,-2274.17,744.17,-6.10352E-05,-1982.32,1358.9,200
CAM,The Camel's Toe,2087.39,1203.23,-89.0839,2640.4,1383.23,110.916
CARCER,Carcer City,3911.54,4640.75,-89,6137.65,6000,500
CARSO,Fort Carson,-376.233,826.326,-3.05176E-05,123.717,1220.44,200
CARYRD,Sunshine Auto's,6439.46,-8410.66,0,6540.3,-8307.18,100
CCCNTR,Central,4772.33,4956.29,-89,5190.23,5267.37,500
CCELB1,East Los Albos,5660.8,4763.34,-89,6033.23,5368.04,500
CCELB2,East Los Albos,6033.23,5269.62,-89,6137.65,5440.81,500
CCELB3,East Los Albos,5932.54,5368.04,-89,6033.23,5440.81,500
CCSTKY,Stockyard,5017.5,5541.06,-89,5552,5702.78,500
CCWAPH,Wapona Hills,4374.37,5738.15,-89,4716.95,6089.94,500
CHC1A,Las Colinas,1994.33,-1100.82,-89.0839,2056.86,-920.815,110.916
CHC1B,Las Colinas,2056.86,-1126.32,-89.0839,2126.86,-920.815,110.916
CHC2A,Las Colinas,2126.86,-1126.32,-89.0839,2185.33,-934.489,110.916
CHC2B,Las Colinas,2185.33,-1154.59,-89.0839,2281.45,-934.489,110.916
CHC3,Las Colinas,2281.45,-1135.04,-89.0839,2632.74,-945.035,110.916
CHC4A,Las Colinas,2747.74,-1120.04,-89.0839,2959.35,-945.035,110.916
CHC4B,Las Colinas,2632.74,-1135.04,-89.0839,2747.74,-945.035,110.916
CHINA,Chinatown,-2274.17,578.396,-7.62939E-05,-2078.67,744.17,200
CHINAT,Chinatown,8995.42,7341.71,-21.203,9315.42,7786.31,129.593
CIS1,Prawn Island,7492.19,-6682.81,0,7625,-6464.06,500
CIS2,Prawn Island,7328.13,-6682.81,0,7492.19,-6464.06,500
CIS3,Prawn Island,7328.13,-6464.06,0,7625,-6245.31,500
CISLAND,InterGlobal Films,7363.6,-6647.96,0,7515.7,-6454.25,100
CITYS,City Hall,-2867.85,277.411,-9.15527E-05,-2593.44,458.411,200
